stage,run,writer_target,k,target_id,call_records,error_records,missing_usage_records,cost_usd
typed_oracle_replay,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260815-002034-927751__authorization-memory-writer_ttc__procurement-v1-nemotron-k4-typed-oracle-replay-network,nemotron_3_ultra_baseten,4,gptoss_baseten,120,0,0,0.033249299999999996
typed_oracle_replay,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260815-002120-563500__authorization-memory-writer_ttc__procurement-v1-grok-k4-typed-oracle-replay-network,grok_4_3_openrouter,4,gptoss_baseten,108,0,0,0.0290126
typed_oracle_replay,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260815-002121-835593__authorization-memory-writer_ttc__procurement-v1-kimi-k2-typed-oracle-replay-network,kimi_baseten,2,gptoss_baseten,54,0,0,0.0139703
typed_oracle_replay,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260815-002202-512822__authorization-memory-writer_ttc__procurement-v1-glm-k2-typed-oracle-replay-network,glm_5_2_baseten,2,gptoss_baseten,84,0,0,0.0239564
typed_oracle_replay,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260815-002203-630427__authorization-memory-writer_ttc__procurement-v1-kimi-k4-typed-oracle-replay-network,kimi_baseten,4,gptoss_baseten,96,0,0,0.027046499999999998
typed_oracle_replay,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260815-002238-718692__authorization-memory-writer_ttc__procurement-v1-glm-k4-typed-oracle-replay-network,glm_5_2_baseten,4,gptoss_baseten,90,0,0,0.026155599999999998
typed_oracle_replay,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260815-014305-629538__authorization-memory-writer_ttc__procurement-v1-qwen-k8-typed-oracle-replay-network,qwen_plus_0728_openrouter,8,gptoss_baseten,126,0,0,0.0353195
typed_oracle_replay,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260815-014315-986282__authorization-memory-writer_ttc__procurement-v1-kimi-k8-typed-oracle-replay-network,kimi_baseten,8,gptoss_baseten,90,0,0,0.0256372
typed_oracle_replay,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260815-014348-304105__authorization-memory-writer_ttc__procurement-v1-grok-k8-typed-oracle-replay-network,grok_4_3_openrouter,8,gptoss_baseten,115,1,1,0.0305661
typed_oracle_replay,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260815-014400-435405__authorization-memory-writer_ttc__procurement-v1-nemotron-k8-typed-oracle-replay-network,nemotron_3_ultra_baseten,8,gptoss_baseten,126,0,0,0.034233
typed_oracle_replay,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260815-014441-810405__authorization-memory-writer_ttc__procurement-v1-glm-k8-typed-oracle-replay-network,glm_5_2_baseten,8,gptoss_baseten,138,0,0,0.0396725
