artifact,condition_id,count,cue_level,denominator,rate,stage,status,writer_target
attempt,one_shot_text,9,l0,47,0.19148936170212766,writer,writer_error,inkling_baseten
state,one_shot_text,34,l0,36,0.9444444444444444,writer,accepted,inkling_baseten
state,one_shot_text,2,l0,36,0.05555555555555555,writer,retained_after_failed_update,inkling_baseten
attempt,one_shot_typed,35,l0,43,0.813953488372093,writer,accepted,inkling_baseten
attempt,one_shot_typed,8,l0,43,0.18604651162790697,writer,writer_error,inkling_baseten
state,one_shot_typed,35,l0,36,0.9722222222222222,writer,accepted,inkling_baseten
state,one_shot_typed,1,l0,36,0.027777777777777776,writer,retained_after_failed_update,inkling_baseten
attempt,incremental_text,139,l1,299,0.46488294314381273,writer,accepted,deepseek_v4_1_flash_baseten
attempt,incremental_text,158,l1,299,0.5284280936454849,writer,invalid_payload,deepseek_v4_1_flash_baseten
attempt,incremental_text,2,l1,299,0.006688963210702341,writer,no_change,deepseek_v4_1_flash_baseten
state,incremental_text,139,l1,198,0.702020202020202,writer,accepted,deepseek_v4_1_flash_baseten
state,incremental_text,2,l1,198,0.010101010101010102,writer,no_change,deepseek_v4_1_flash_baseten
state,incremental_text,57,l1,198,0.2878787878787879,writer,retained_after_failed_update,deepseek_v4_1_flash_baseten
attempt,incremental_typed,103,l1,200,0.515,writer,accepted,deepseek_v4_1_flash_baseten
attempt,incremental_typed,95,l1,200,0.475,writer,no_change,deepseek_v4_1_flash_baseten
attempt,incremental_typed,2,l1,200,0.01,writer,writer_error,deepseek_v4_1_flash_baseten
state,incremental_typed,103,l1,198,0.5202020202020202,writer,accepted,deepseek_v4_1_flash_baseten
state,incremental_typed,95,l1,198,0.4797979797979798,writer,no_change,deepseek_v4_1_flash_baseten
attempt,one_shot_text,34,l1,44,0.7727272727272727,writer,accepted,deepseek_v4_1_flash_baseten
attempt,one_shot_text,9,l1,44,0.20454545454545456,writer,invalid_payload,deepseek_v4_1_flash_baseten
attempt,one_shot_text,1,l1,44,0.022727272727272728,writer,writer_error,deepseek_v4_1_flash_baseten
state,one_shot_text,34,l1,36,0.9444444444444444,writer,accepted,deepseek_v4_1_flash_baseten
state,one_shot_text,2,l1,36,0.05555555555555555,writer,retained_after_failed_update,deepseek_v4_1_flash_baseten
attempt,one_shot_typed,36,l1,39,0.9230769230769231,writer,accepted,deepseek_v4_1_flash_baseten
attempt,one_shot_typed,3,l1,39,0.07692307692307693,writer,writer_error,deepseek_v4_1_flash_baseten
state,one_shot_typed,36,l1,36,1.0,writer,accepted,deepseek_v4_1_flash_baseten
attempt,incremental_text,95,l1,325,0.2923076923076923,writer,accepted,inkling_baseten
attempt,incremental_text,194,l1,325,0.5969230769230769,writer,invalid_payload,inkling_baseten
attempt,incremental_text,36,l1,325,0.11076923076923077,writer,writer_error,inkling_baseten
state,incremental_text,95,l1,198,0.4797979797979798,writer,accepted,inkling_baseten
state,incremental_text,103,l1,198,0.5202020202020202,writer,retained_after_failed_update,inkling_baseten
attempt,incremental_typed,160,l1,213,0.7511737089201878,writer,accepted,inkling_baseten
attempt,incremental_typed,6,l1,213,0.028169014084507043,writer,invalid_payload,inkling_baseten
attempt,incremental_typed,37,l1,213,0.17370892018779344,writer,no_change,inkling_baseten
attempt,incremental_typed,10,l1,213,0.046948356807511735,writer,writer_error,inkling_baseten
state,incremental_typed,160,l1,198,0.8080808080808081,writer,accepted,inkling_baseten
state,incremental_typed,37,l1,198,0.18686868686868688,writer,no_change,inkling_baseten
state,incremental_typed,1,l1,198,0.005050505050505051,writer,retained_after_failed_update,inkling_baseten
attempt,one_shot_text,33,l1,47,0.7021276595744681,writer,accepted,inkling_baseten
attempt,one_shot_text,6,l1,47,0.1276595744680851,writer,invalid_payload,inkling_baseten
attempt,one_shot_text,8,l1,47,0.1702127659574468,writer,writer_error,inkling_baseten
state,one_shot_text,33,l1,36,0.9166666666666666,writer,accepted,inkling_baseten
state,one_shot_text,3,l1,36,0.08333333333333333,writer,retained_after_failed_update,inkling_baseten
attempt,one_shot_typed,35,l1,42,0.8333333333333334,writer,accepted,inkling_baseten
attempt,one_shot_typed,7,l1,42,0.16666666666666666,writer,writer_error,inkling_baseten
state,one_shot_typed,35,l1,36,0.9722222222222222,writer,accepted,inkling_baseten
state,one_shot_typed,1,l1,36,0.027777777777777776,writer,retained_after_failed_update,inkling_baseten
attempt,incremental_text,137,l2,306,0.4477124183006536,writer,accepted,deepseek_v4_1_flash_baseten
attempt,incremental_text,167,l2,306,0.545751633986928,writer,invalid_payload,deepseek_v4_1_flash_baseten
attempt,incremental_text,2,l2,306,0.006535947712418301,writer,no_change,deepseek_v4_1_flash_baseten
state,incremental_text,137,l2,198,0.6919191919191919,writer,accepted,deepseek_v4_1_flash_baseten
state,incremental_text,2,l2,198,0.010101010101010102,writer,no_change,deepseek_v4_1_flash_baseten
state,incremental_text,59,l2,198,0.29797979797979796,writer,retained_after_failed_update,deepseek_v4_1_flash_baseten
attempt,incremental_typed,111,l2,199,0.5577889447236181,writer,accepted,deepseek_v4_1_flash_baseten
attempt,incremental_typed,87,l2,199,0.4371859296482412,writer,no_change,deepseek_v4_1_flash_baseten
attempt,incremental_typed,1,l2,199,0.005025125628140704,writer,writer_error,deepseek_v4_1_flash_baseten
state,incremental_typed,111,l2,198,0.5606060606060606,writer,accepted,deepseek_v4_1_flash_baseten
state,incremental_typed,87,l2,198,0.4393939393939394,writer,no_change,deepseek_v4_1_flash_baseten
attempt,one_shot_text,35,l2,41,0.8536585365853658,writer,accepted,deepseek_v4_1_flash_baseten
attempt,one_shot_text,6,l2,41,0.14634146341463414,writer,invalid_payload,deepseek_v4_1_flash_baseten
state,one_shot_text,35,l2,36,0.9722222222222222,writer,accepted,deepseek_v4_1_flash_baseten
state,one_shot_text,1,l2,36,0.027777777777777776,writer,retained_after_failed_update,deepseek_v4_1_flash_baseten
attempt,one_shot_typed,36,l2,41,0.8780487804878049,writer,accepted,deepseek_v4_1_flash_baseten
attempt,one_shot_typed,5,l2,41,0.12195121951219512,writer,writer_error,deepseek_v4_1_flash_baseten
state,one_shot_typed,36,l2,36,1.0,writer,accepted,deepseek_v4_1_flash_baseten
attempt,incremental_text,114,l2,311,0.3665594855305466,writer,accepted,inkling_baseten
attempt,incremental_text,173,l2,311,0.5562700964630225,writer,invalid_payload,inkling_baseten
attempt,incremental_text,24,l2,311,0.07717041800643087,writer,writer_error,inkling_baseten
state,incremental_text,114,l2,198,0.5757575757575758,writer,accepted,inkling_baseten
state,incremental_text,84,l2,198,0.42424242424242425,writer,retained_after_failed_update,inkling_baseten
attempt,incremental_typed,160,l2,213,0.7511737089201878,writer,accepted,inkling_baseten
attempt,incremental_typed,3,l2,213,0.014084507042253521,writer,invalid_payload,inkling_baseten
attempt,incremental_typed,38,l2,213,0.1784037558685446,writer,no_change,inkling_baseten
attempt,incremental_typed,12,l2,213,0.056338028169014086,writer,writer_error,inkling_baseten
state,incremental_typed,160,l2,198,0.8080808080808081,writer,accepted,inkling_baseten
state,incremental_typed,38,l2,198,0.1919191919191919,writer,no_change,inkling_baseten
attempt,one_shot_text,35,l2,43,0.813953488372093,writer,accepted,inkling_baseten
attempt,one_shot_text,1,l2,43,0.023255813953488372,writer,invalid_payload,inkling_baseten
attempt,one_shot_text,7,l2,43,0.16279069767441862,writer,writer_error,inkling_baseten
state,one_shot_text,35,l2,36,0.9722222222222222,writer,accepted,inkling_baseten
state,one_shot_text,1,l2,36,0.027777777777777776,writer,retained_after_failed_update,inkling_baseten
attempt,one_shot_typed,35,l2,42,0.8333333333333334,writer,accepted,inkling_baseten
attempt,one_shot_typed,7,l2,42,0.16666666666666666,writer,writer_error,inkling_baseten
state,one_shot_typed,35,l2,36,0.9722222222222222,writer,accepted,inkling_baseten
state,one_shot_typed,1,l2,36,0.027777777777777776,writer,retained_after_failed_update,inkling_baseten
